# x y z s_1 s_2
0 0 0 -0.916622444488021 0.399754042206961 
0 0 1 0.915712239209833 0.401834661224381 
0 0 2 -0.958426968348875 -0.285337951106376 
0 0 3 -0.832325381697804 -0.554287343335209 
0 0 4 -0.999924232658208 0.0123097092936548 
0 0 5 -0.449454343580321 0.893303304055673 
0 0 6 -0.915001584171777 -0.403450245957465 
0 0 7 0.940418318930055 -0.340019683872522 
0 0 8 -0.452300212708105 -0.891865750875211 
0 0 9 0.193475722299359 -0.981105063120531 
0 0 10 -0.0791490629119412 -0.996862791882695 
0 0 11 -0.985931981789892 -0.167147022958399 
0 0 12 0.874421258877095 -0.485167457713103 
0 0 13 0.66476152581283 -0.747055629654846 
0 0 14 0.423140632710738 -0.9060640181296 
0 0 15 -0.349388666052713 -0.936977886630152 
0 0 16 -0.313362689284842 -0.94963352139874 
0 0 17 -0.845162733061439 -0.534509078168107 
0 0 18 -0.828055555661005 -0.560646052995064 
0 0 19 -0.955462101618982 0.295113829513017 
0 0 20 0.151330629429615 -0.9884832019799 
0 0 21 -0.164590372341143 -0.986362007243083 
0 0 22 -0.899349941147684 0.437229554533607 
0 0 23 0.690302891992164 0.723520502340642 
0 0 24 -0.845045666536277 0.534694138240041 
0 0 25 0.910304912052513 0.41393836146589 
0 0 26 0.3478440393595 -0.937552411485388 
0 0 27 -0.162805693153076 0.986658150666656 
0 0 28 -0.962222688315495 0.272263655471862 
0 0 29 -0.498295153331552 0.867007462578198 
0 0 30 -0.390441366203936 0.920627796428505 
0 0 31 0.173068170316209 -0.984909847865986 
0 1 0 -0.0927769765909793 -0.99568691495602 
0 1 1 -0.609385240717206 -0.792874282844407 
0 1 2 -0.845965737324103 -0.533237256081838 
0 1 3 -0.452706348060059 0.891659667376587 
0 1 4 -0.922231573803878 0.386637975733401 
0 1 5 0.405509826980493 0.914090684900711 
0 1 6 0.180323909639628 -0.983607283224499 
0 1 7 -0.654869890086384 -0.755741640415723 
0 1 8 -0.638443769891103 -0.769668469334191 
0 1 9 -0.975978476737632 -0.217866961572636 
0 1 10 -0.722711370926359 -0.691149965154989 
0 1 11 0.672624097138261 -0.739984340340348 
0 1 12 -0.602153405082366 0.798380408544518 
0 1 13 0.101935358289191 0.994791024653145 
0 1 14 0.784673498899352 -0.619909267655395 
0 1 15 0.462144766115894 -0.886804496578409 
0 1 16 0.996755556507153 -0.0804882635675304 
0 1 17 0.35260640429493 -0.935771726250692 
0 1 18 -0.0920418518649913 -0.995755139331584 
0 1 19 0.964628352010738 -0.263613623504262 
0 1 20 -0.29339297885263 -0.955991924631155 
0 1 21 0.481193343271432 0.876614491319452 
0 1 22 -0.384575305754413 -0.923093621581202 
0 1 23 -0.102037524731732 -0.99478055044649 
0 1 24 -0.973300868299495 0.229533047222941 
0 1 25 0.983220463252171 -0.182421272449753 
0 1 26 -0.899643926121614 -0.436624330738094 
0 1 27 -0.942388094020044 0.334521569183914 
0 1 28 -0.927225404019986 -0.374503738485977 
0 1 29 -0.98638299838786 0.164464526544099 
0 1 30 -0.325329374791241 -0.945600760309519 
0 1 31 0.0587263054828598 -0.998274121193339 
0 2 0 0.983356373722795 -0.18168720994818 
0 2 1 -0.670135830641017 -0.742238484916454 
0 2 2 -0.988149284968747 0.15349589771637 
0 2 3 -0.619548325097343 -0.78495851665491 
0 2 4 -0.860443679496672 0.509545556760362 
0 2 5 0.100706792173906 -0.994916148230614 
0 2 6 0.0423876801780168 -0.999101238398355 
0 2 7 0.371973222697852 -0.928243460303262 
0 2 8 -0.439339197640009 -0.898321250676524 
0 2 9 0.512530297422085 -0.858669141302067 
0 2 10 -0.999867615338582 0.01627119531985 
0 2 11 -0.992118360310422 0.125304266228088 
0 2 12 -0.786958608713657 0.617005792656329 
0 2 13 -0.503023105246573 -0.86427296358737 
0 2 14 -0.320843546560859 -0.9471322075773 
0 2 15 0.44508294134353 -0.89548934964353 
0 2 16 -0.489737133006684 -0.871870139730908 
0 2 17 -0.967442577279501 -0.253090615524947 
0 2 18 0.467317508399833 -0.884089557874637 
0 2 19 0.736064351621404 0.676911567541996 
0 2 20 0.493633596139877 0.869669979223161 
0 2 21 -0.540482848971126 -0.841355032057249 
0 2 22 -0.603834866687449 0.797109436509536 
0 2 23 -0.702590756635989 0.71159414604792 
0 2 24 -0.997742312827248 0.0671585973210793 
0 2 25 -0.994236173198445 -0.107212088421559 
0 2 26 -0.368108581760861 -0.929782809065648 
0 2 27 -0.997116618893568 0.0758844406071401 
0 2 28 0.967757991950426 0.251881855273617 
0 2 29 -0.0781734048810146 -0.996939776901949 
0 2 30 -0.938166907827246 -0.346183265132593 
0 2 31 -0.724459891438687 -0.68931695590392 
0 3 0 -0.325632075958455 -0.945496563244408 
0 3 1 -0.960590172015823 0.277968561939315 
0 3 2 -0.944300074757044 -0.329085655740022 
0 3 3 -0.279782528945347 -0.960063402331818 
0 3 4 0.917150736498125 0.398540495484395 
0 3 5 -0.815952474376858 -0.578118983910996 
0 3 6 -0.0282103251111445 -0.999602009580375 
0 3 7 -0.157569254270068 -0.987507939263667 
0 3 8 -0.451676715159367 -0.892181677116743 
0 3 9 -0.498885659311631 -0.866667813486343 
0 3 10 -0.053169576013208 -0.998585497684888 
0 3 11 -0.85581274236519 0.517285752756996 
0 3 12 -0.783617550548954 0.621243538776588 
0 3 13 -0.675959146101884 0.736939097077371 
0 3 14 -0.37649761375662 -0.926417587719259 
0 3 15 -0.478450431465661 -0.878114562360927 
0 3 16 -0.620896429800225 0.783892609648372 
0 3 17 -0.842679365799283 0.538415718990557 
0 3 18 0.35553634125974 -0.934662457812251 
0 3 19 -0.175906923800128 -0.98440680318615 
0 3 20 -0.999939756640194 0.0109764789595623 
0 3 21 0.991778314591014 0.127967865915655 
0 3 22 0.786768676961135 0.617247963911446 
0 3 23 0.388379868577373 0.921499363908528 
0 3 24 -0.968376067009528 -0.249495075789401 
0 3 25 0.997092349940816 0.0762026619581097 
0 3 26 0.878793904694094 0.4772015015405 
0 3 27 0.367904602601482 0.929863540195359 
0 3 28 0.9965051297037 0.0835315896784683 
0 3 29 0.226069786844654 -0.974111108383439 
0 3 30 0.279395796396406 0.960176019777633 
0 3 31 0.449753016950471 -0.893152967718268 
0 4 0 -0.690999360318734 0.722855368686641 
0 4 1 0.317478559085445 0.94826545045205 
0 4 2 0.832722428714489 -0.553690668799685 
0 4 3 0.175119861123204 -0.98454712139145 
0 4 4 0.657001828390071 -0.753888982206335 
0 4 5 0.446250373683655 0.894908153939385 
0 4 6 -0.725176361637508 0.688563173951517 
0 4 7 -0.726378968103372 -0.687294401764688 
0 4 8 -0.744032340323945 -0.668143604737839 
0 4 9 -0.116202875102933 0.99322549897685 
0 4 10 0.796316553884454 -0.604880108789823 
0 4 11 -0.95820618887628 -0.286078485033732 
0 4 12 0.808566387859324 -0.588404959550925 
0 4 13 -0.342573437975727 -0.939491053493055 
0 4 14 -0.0501823989895685 -0.99874006970365 
0 4 15 0.483223371119669 -0.875497100853991 
0 4 16 -0.98944146506853 0.14493304386178 
0 4 17 0.762848434688879 -0.646577347030289 
0 4 18 -0.26585833324902 -0.964012109178123 
0 4 19 0.0960221049708939 -0.995379201790432 
0 4 20 0.877641327734938 -0.479317952774205 
0 4 21 0.671626028716789 -0.740890327612741 
0 4 22 0.997849741214138 -0.0655430694953863 
0 4 23 0.607073933383719 0.794645354485899 
0 4 24 0.444143613253047 -0.895955607609288 
0 4 25 0.982484330994038 0.18634521553074 
0 4 26 0.978775792853493 -0.204934007241396 
0 4 27 -0.848295217691612 0.529523581761511 
0 4 28 -0.550059312393003 0.835125591063845 
0 4 29 0.913010909209841 -0.407935141491659 
0 4 30 0.977029822349773 0.21310261903405 
0 4 31 -0.744876232285054 -0.667202666793847 
0 5 0 0.986058658892492 0.166398080587307 
0 5 1 0.264112306612499 -0.964491933349276 
0 5 2 0.951636933336581 0.307224912905427 
0 5 3 -0.996295928256842 0.0859908328767496 
0 5 4 -0.992928845921529 0.118711022811454 
0 5 5 0.846300063591877 0.532706488006656 
0 5 6 0.921953210456364 0.387301275145336 
0 5 7 -0.308353139539976 0.951271959712805 
0 5 8 -0.924492695223426 -0.381199759284454 
0 5 9 -0.986112683069422 0.166077621278805 
0 5 10 0.99647634665658 0.0838742544166921 
0 5 11 0.836973208489953 -0.547243865447602 
0 5 12 0.348924407904002 0.937150872361991 
0 5 13 0.044466767437651 -0.999010864101911 
0 5 14 0.322925077021994 -0.946424531925467 
0 5 15 0.997299986050453 -0.0734352628085876 
0 5 16 -0.88783619500236 -0.460159636260865 
0 5 17 -0.982409285593644 -0.186740449767545 
0 5 18 -0.686878858692387 -0.726771926729041 
0 5 19 0.868321538340386 0.496001719809706 
0 5 20 0.688261263018485 0.725462910029313 
0 5 21 0.897371939213087 -0.441274974038801 
0 5 22 0.14990211652596 0.988700842247562 
0 5 23 -0.976730456221898 0.214470547834808 
0 5 24 0.997228501165727 0.0743997074104316 
0 5 25 0.921630021430043 -0.388069714869452 
0 5 26 0.991640797547074 0.129029177476267 
0 5 27 0.893585627075581 -0.44889277905079 
0 5 28 0.978719448427989 -0.205202927047382 
0 5 29 -0.929175962568548 0.369637701790298 
0 5 30 0.937425432624172 -0.348186097179918 
0 5 31 0.872108274518581 -0.489312944357926 
0 6 0 0.778852111644615 0.62720761170981 
0 6 1 -0.0746068493319016 -0.99721302540268 
0 6 2 -0.494584656804928 -0.86912945943234 
0 6 3 0.933556604713892 -0.358430001248598 
0 6 4 -0.926159843834791 0.377131202193501 
0 6 5 0.0133897550545507 0.999910353211516 
0 6 6 -0.181107778954183 -0.983463254220656 
0 6 7 -0.89126526370417 0.453482336717029 
0 6 8 -0.675103740196361 0.737722807003338 
0 6 9 -0.323283401467555 -0.946302193982223 
0 6 10 -0.852641941489626 -0.522495664683259 
0 6 11 0.861484698253137 -0.507783531315955 
0 6 12 0.102328174371732 0.994750694762134 
0 6 13 0.328128664482594 -0.944633039621667 
0 6 14 -0.0463473280411703 -0.998925385193231 
0 6 15 -0.68442968238181 0.729078877676987 
0 6 16 -0.425192035553049 0.905103161469595 
0 6 17 -0.254158761018871 0.967162511782458 
0 6 18 -0.989145722003189 0.146937880217423 
0 6 19 0.999999013813767 0.00140441144041857 
0 6 20 0.976281818788841 0.216503603439648 
0 6 21 0.472766295531245 -0.881187851601271 
0 6 22 -0.835740032217027 -0.54912530314117 
0 6 23 0.305477110434288 -0.952199419764956 
0 6 24 -0.83385765560899 0.551979537829328 
0 6 25 0.261150828210464 -0.965298008350265 
0 6 26 -0.0264014895766672 0.99965141992003 
0 6 27 0.536216113627954 0.844080730431475 
0 6 28 0.991020904404736 0.133707019384997 
0 6 29 0.984678651518392 -0.174378763741233 
0 6 30 0.557499913041621 -0.830176997367781 
0 6 31 0.678213718525696 -0.734864716804084 
0 7 0 0.644724070492519 0.764415379834523 
0 7 1 0.216377167107308 -0.976309849153749 
0 7 2 -0.740975984464159 -0.671531526026418 
0 7 3 0.304665412050234 -0.952459440973872 
0 7 4 0.127337999184036 0.991859382152433 
0 7 5 0.456735336786351 -0.889602625968842 
0 7 6 -0.859928456024156 -0.510414586899621 
0 7 7 0.0127435666851876 -0.999918797457144 
0 7 8 0.795761693215352 -0.605609880707899 
0 7 9 -0.694633337542009 0.719363973503851 
0 7 10 -0.475674781182539 0.879621226748732 
0 7 11 0.994582257254697 -0.103952554341638 
0 7 12 0.822340207225591 0.568996119125757 
0 7 13 0.730734731526081 0.682661520917582 
0 7 14 0.493319988286417 0.869847911509299 
